YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT,JUN,JUL,AUG,SEP
1901,155.8,191.5,138.4,137.1,622.9,-1.7,-10.1,-18.5,-15.1,-11.4,6740.9,10168.8,10486.4,4746.1
1902,118.9,214.4,159.7,193.7,686.7,-25.3,0.2,-6.2,19.9,-2.6,5869.9,12269.4,8433.3,9017.0
1903,141.0,300.2,206.2,212.5,859.9,-12.0,39.6,20.7,31.3,21.5,5954.9,12484.4,10452.4,7605.2
1904,191.9,191.4,89.5,130.6,603.5,19.4,-11.1,-47.6,-19.3,-14.9,8252.1,10917.5,7534.6,5876.6
1905,153.5,120.6,187.6,99.0,560.6,-4.0,-43.1,10.4,-38.6,-20.3,5713.3,10041.4,8605.9,6254.8
1906,174.0,219.9,221.8,110.8,726.5,8.6,3.1,30.7,-31.3,3.1,8203.5,12049.0,9984.7,6268.0
1907,184.8,206.3,216.3,129.3,736.8,14.7,-4.0,26.5,-20.1,3.9,7188.3,10479.9,11797.5,4090.3
1908,125.0,240.1,155.1,247.6,767.7,-22.7,11.6,-9.1,53.3,8.3,6649.7,13809.8,11486.8,6217.5
1909,157.3,227.5,196.0,148.2,729.0,-2.1,6.3,15.0,-8.2,3.2,9114.6,12098.6,8899.5,5945.7
1910,180.0,211.1,209.4,172.8,773.4,12.2,-2.0,22.5,6.5,9.1,9749.7,9908.8,11127.6,7884.3
1911,189.6,191.6,103.5,104.2,588.9,18.1,-11.0,-39.5,-35.8,-17.0,8966.5,7746.6,8177.2,6596.4
1912,144.8,253.3,196.6,142.3,737.1,-9.4,16.8,15.2,-13.1,3.6,6372.2,13616.0,10305.6,4829.1
1913,133.9,228.8,98.8,130.9,592.5,-15.9,5.7,-42.3,-20.0,-16.6,9797.9,11219.7,7368.8,4723.5
1914,157.6,280.4,211.6,186.5,836.1,-1.3,29.3,24.2,13.9,17.7,7342.9,14788.8,10291.6,7667.9
1915,193.8,214.5,149.5,198.2,755.9,21.6,-1.1,-12.4,21.3,6.4,7341.0,9953.4,8581.4,7130.4
1916,199.6,248.9,183.7,190.3,822.6,25.4,15.1,8.1,17.1,16.2,10821.8,11176.3,11795.0,8948.3
1917,206.4,157.1,198.1,246.8,808.3,29.6,-27.4,16.6,51.8,14.2,9945.1,11319.6,11133.0,10841.5
1918,114.4,85.5,123.7,110.4,434.0,-28.1,-60.5,-27.2,-32.1,-38.7,9244.2,7643.2,10013.8,4606.6
1919,176.2,196.8,127.6,191.5,692.1,10.8,-8.9,-24.8,18.1,-2.1,9098.1,12880.2,10486.5,6791.1
1920,169.0,192.5,127.5,136.3,625.3,6.2,-10.9,-24.9,-15.9,-11.6,8389.0,12178.7,8056.1,5764.099999999999
1921,141.7,282.9,184.5,133.2,742.3,-10.9,30.9,8.7,-17.9,5.0,8699.9,12769.4,11583.8,8036.7
1922,146.8,224.8,129.8,109.9,611.3,-6.5,4.2,-23.5,-32.3,-13.3,9869.9,13901.4,9216.6,8376.5
1923,119.6,295.5,171.6,183.1,769.8,-24.7,36.6,1.4,12.6,8.9,6173.5,15291.5,11016.800000000001,7460.1
1924,161.6,313.9,176.9,212.7,865.2,1.8,45.1,4.0,30.5,22.2,7669.4,14824.6,10611.5,9413.0
1925,167.1,212.6,191.0,100.2,670.9,5.6,-1.6,11.7,-38.4,-5.2,9842.0,12245.8,10094.0,5560.3
1926,116.3,231.3,183.5,163.2,694.3,-27.1,6.0,6.7,0.4,-2.5,5617.2,13779.6,13162.7,8182.2
1927,180.9,238.9,140.4,178.6,738.8,13.4,9.5,-18.4,10.1,3.8,8527.1,13940.8,9813.9,7298.1
1928,153.8,190.9,173.2,132.5,650.4,-3.9,-12.5,0.6,-18.3,-8.7,8584.5,12839.7,10208.0,5833.4
1929,207.1,161.7,119.6,179.2,667.7,29.9,-25.6,-30.3,10.8,-6.0,10003.5,11947.0,9493.6,5330.7
1930,185.8,125.1,109.8,172.1,592.8,15.3,-43.8,-37.3,6.7,-17.7,8925.8,11196.6,8721.0,7703.900000000001
1931,157.4,220.5,229.8,170.3,778.0,-2.0,0.1,32.5,6.1,8.8,6704.2,14335.5,12780.6,7746.8
1932,107.4,230.3,191.4,148.4,677.6,-33.1,4.6,10.5,-7.6,-5.2,6523.5,13176.5,9453.2,7167.7
1933,209.4,234.9,211.7,198.1,854.1,24.5,2.0,17.6,21.6,15.2,10059.5,12619.4,12285.6,9233.4
1934,187.0,208.0,172.9,83.5,651.3,11.3,-9.8,-4.1,-48.9,-12.2,10489.1,11859.6,11786.1,6496.900000000001
1935,137.0,218.9,190.8,147.3,693.9,-18.7,-5.2,6.0,-9.7,-6.5,7786.599999999999,12731.4,10461.9,7811.8
1936,199.0,212.5,152.2,155.0,718.7,18.4,-7.5,-15.5,-4.9,-3.0,11134.0,12499.3,9630.2,7916.8
1937,122.7,270.1,117.6,126.9,637.2,-27.1,17.5,-34.6,-22.2,-14.0,8117.5,14566.5,8435.6,7013.5
1938,200.1,215.1,215.6,208.7,839.6,19.2,-6.3,20.3,28.2,13.5,12308.3,12536.6,10228.3,7357.7
1939,139.3,186.0,180.7,121.7,627.6,-17.0,-18.8,0.9,-25.1,-15.0,8524.3,11690.2,9327.3,6241.1
1940,178.2,228.7,228.1,107.1,742.1,6.4,-0.2,27.4,-34.1,0.5,7999.099999999999,13040.3,12124.4,5353.8
1941,176.7,148.3,156.1,171.4,652.5,5.6,-35.2,-12.7,5.6,-11.5,8452.4,9995.6,9295.800000000001,6412.1
1942,192.6,234.5,190.7,101.1,718.9,18.6,3.5,9.0,-36.3,-0.5,9355.2,13750.3,10772.0,6758.8
1943,172.0,223.9,104.1,187.0,687.1,4.8,-2.0,-41.0,17.8,-5.6,8306.3,12532.3,8691.4,8112.6
1944,145.0,234.9,119.4,149.0,648.3,-11.0,3.5,-32.0,-5.9,-10.4,7272.099999999999,13891.2,9925.5,6061.7
1945,128.3,265.3,169.8,114.3,677.7,-20.5,16.9,-3.6,-27.5,-6.2,7209.7,13768.7,9778.2,8034.5
1946,200.5,219.0,220.5,144.9,784.9,19.0,-4.3,23.2,-10.6,6.3,9697.5,12935.1,11645.9,5986.0
1947,133.1,252.9,262.2,202.8,851.0,-20.4,11.0,46.3,24.8,15.5,7109.3,13506.300000000001,11926.6,9313.9
1948,163.8,219.1,206.3,147.1,736.4,-2.1,-4.3,15.0,-9.7,-0.3,7570.0,13919.2,11232.9,6516.3
1949,156.7,259.2,188.8,201.8,806.6,-7.4,13.2,5.7,24.3,9.1,8112.0,14395.5,10109.6,9436.3
1950,133.7,265.6,158.9,211.2,769.5,-20.2,16.0,-11.4,30.0,4.2,6745.5,14498.0,9490.2,8654.3
1951,149.4,256.1,153.0,140.9,699.4,-11.2,10.9,-15.6,-12.6,-5.7,8407.5,11739.0,8284.300000000001,5292.6
1952,131.1,170.0,150.0,77.3,528.4,-21.9,-26.3,-16.3,-51.9,-28.5,8271.3,11490.9,10301.1,4629.8
1953,170.1,311.8,183.6,164.4,829.8,2.9,35.7,3.0,2.7,13.1,7968.1,14784.4,10888.8,7030.0
1954,158.3,282.3,204.8,143.3,788.7,-3.8,25.2,15.8,-10.7,8.4,7811.8,13152.6,9909.9,9263.4
1955,184.8,158.0,208.7,204.0,755.5,12.6,-29.8,18.1,27.2,4.0,8515.5,10069.2,11973.1,8437.8
1956,210.8,277.1,158.8,164.5,811.2,30.7,23.2,-9.9,3.1,12.4,9635.2,13880.5,9789.4,6508.6
1957,205.8,225.5,209.1,91.6,732.0,24.7,-0.5,18.6,-42.7,0.6,8018.8,13179.5,10841.6,5410.7
1958,151.0,285.0,258.3,119.4,813.7,-8.6,24.7,46.1,-25.0,11.5,7087.4,13005.300000000001,13376.8,8638.0
1959,236.7,342.2,201.3,171.5,951.7,44.3,50.9,13.9,7.5,30.9,8680.4,16126.4,10317.9,9571.7
1960,153.8,237.2,112.5,228.4,732.0,-7.8,4.1,-36.4,42.8,0.1,7718.6,13440.3,9434.1,8148.1
1961,213.2,353.5,207.5,141.5,915.7,27.1,62.5,20.2,-8.4,28.5,9393.8,14844.5,11844.7,8999.6
1962,92.3,256.8,227.2,208.2,784.4,-45.1,18.0,32.0,34.4,10.1,6374.9,12423.2,11942.5,8597.6
1963,145.5,192.5,240.3,111.1,689.4,-11.0,-15.1,36.5,-30.4,-5.0,7941.9,11551.8,13805.4,6863.599999999999
1964,124.7,252.2,220.6,246.2,843.7,-24.3,12.3,25.3,52.3,16.1,8264.6,14601.6,11292.1,8619.4
1965,131.9,228.0,168.7,140.0,668.6,-19.1,0.2,-4.7,-12.0,-8.0,6387.5,11735.7,8617.5,5351.1
1966,112.6,234.1,138.5,192.0,677.3,-31.7,5.0,-20.6,20.8,-6.1,7735.0,11424.3,8575.4,6372.0
1967,154.2,281.1,156.0,115.8,707.1,-6.0,23.4,-11.2,-27.3,-2.7,6978.5,13749.9,10600.0,6560.8
1968,144.1,253.2,85.4,192.2,674.9,-11.6,15.4,-50.5,20.7,-5.5,7964.7,14111.4,8328.5,5705.8
1969,118.1,240.9,168.9,132.5,660.4,-25.6,10.1,-2.5,-16.4,-6.9,6680.6,13442.9,10911.199999999999,7656.6
1970,164.6,193.4,266.0,149.5,773.6,2.7,-13.7,52.0,-6.0,7.7,9815.4,11900.8,13272.4,8636.7
1971,181.5,149.8,160.7,146.9,638.8,16.0,-32.4,-4.8,-5.3,-9.0,10739.0,11375.9,10954.8,6464.6
1972,147.8,181.5,92.6,151.3,573.3,-6.7,-19.4,-46.6,-2.7,-19.6,6332.8,9556.9,8266.2,5270.9
1973,154.5,191.0,226.2,114.5,686.2,0.9,-10.3,37.5,-25.3,0.4,7769.4,11140.0,12158.2,7000.2
1974,105.9,227.6,166.9,221.0,721.4,-33.2,2.4,-2.5,41.7,1.9,5890.900000000001,13005.2,9871.9,6545.8
1975,204.4,245.5,225.9,246.4,922.2,28.6,9.4,31.0,59.4,29.8,9041.4,12662.0,11368.6,9431.6
1976,94.9,257.7,221.5,93.6,667.6,-41.8,12.4,24.6,-40.8,-8.3,7451.8,12689.2,11606.7,5621.2
1977,156.0,221.5,167.7,110.6,655.7,-2.5,-1.6,-3.9,-28.9,-8.3,8664.3,13810.199999999999,9592.0,6043.4
1978,208.7,264.2,224.1,163.1,860.0,31.6,17.2,29.0,5.0,20.6,10369.5,12306.8,10975.1,6620.4
1979,148.5,157.3,122.6,208.7,637.1,-2.7,-21.4,-24.2,34.4,-4.9,6761.9,10829.9,8420.5,5872.0
1980,188.5,178.1,183.4,119.7,669.7,20.7,-12.1,10.0,-22.5,-1.5,10411.9,12698.5,11273.6,5638.7
1981,180.9,188.3,185.3,235.0,789.5,20.2,1.8,17.7,51.6,21.9,8202.8,12904.9,10358.6,7830.0
1982,146.9,174.1,150.4,124.8,596.2,-2.4,-9.1,-5.9,-18.9,-9.1,7000.4,10511.8,11437.5,5108.9
1983,152.5,206.7,294.6,256.6,910.4,0.6,6.0,83.4,67.3,37.8,7153.6,12178.5,12958.599999999999,10230.699999999999
1984,127.7,221.8,76.2,136.9,562.5,-15.8,13.8,-52.4,-10.9,-14.8,9423.2,12533.6,9463.5,5901.3
1985,168.0,149.5,146.3,99.0,562.8,10.7,-23.6,-8.6,-35.4,-14.8,8446.9,11698.9,9514.2,5954.0
1986,140.0,119.1,202.7,132.6,594.3,-7.3,-38.5,28.1,-13.1,-9.3,8504.5,10001.2,9302.2,5587.8
1987,131.0,107.3,192.8,110.7,541.9,-11.0,-47.6,19.4,-28.5,-18.9,6693.0,9058.7,10756.4,6168.5
1988,127.8,283.5,241.1,249.5,901.8,-13.1,39.2,48.5,60.7,35.0,7337.4,15746.800000000001,12433.0,9454.3
1989,178.5,312.0,158.4,183.8,832.7,17.1,45.7,-6.3,15.2,19.8,8879.1,12645.4,9599.4,6864.7
1990,176.5,167.0,240.5,133.4,717.4,7.1,-24.3,21.2,-18.3,-4.0,8650.7,12199.8,12026.6,7556.9
1991,278.0,239.3,167.2,135.5,820.0,69.4,2.5,-9.2,-16.9,10.1,9359.5,12478.699999999999,10599.9,5577.7
1992,190.9,328.3,207.7,136.9,863.8,15.8,39.4,11.4,-14.7,15.6,7134.5,11484.0,11744.4,6390.1
1993,139.1,230.8,156.4,126.2,652.4,-15.5,-1.8,-14.9,-22.5,-12.5,7667.400000000001,13452.7,8472.4,8235.5
1994,167.3,273.6,175.4,88.9,705.2,2.7,17.5,-4.1,-44.9,-4.7,9392.5,14548.2,11045.8,6070.8
1995,137.7,243.6,203.1,137.7,722.2,-15.5,4.4,10.7,-14.2,-2.5,6891.4,13805.5,11298.8,7772.9
1996,233.8,198.8,239.0,203.9,875.5,44.2,-15.2,29.0,27.4,18.0,8507.8,11664.0,11281.2,6569.8
1997,138.1,229.7,181.2,179.7,728.7,-15.4,-0.8,-1.1,12.1,-1.3,8078.7,13055.0,10968.5,6201.7
1998,173.9,230.9,219.9,238.7,863.4,7.9,0.4,28.5,49.0,19.5,8374.9,12365.5,10372.7,8802.5
1999,148.5,214.8,147.3,118.2,628.8,-8.7,-6.6,-18.5,-25.6,-14.1,8270.6,12417.8,8796.0,7020.4
2000,202.4,169.7,295.5,133.8,801.3,24.5,-26.2,63.4,-15.9,9.4,8893.9,10900.7,10087.5,5768.3
2001,162.2,159.8,164.8,172.6,659.4,-0.2,-30.6,-8.9,8.7,-10.0,9445.3,10929.9,8597.1,4893.4
2002,151.7,95.8,182.0,77.2,506.7,-8.0,-59.0,-5.1,-51.8,-32.5,8042.4,6567.9,9868.1,5545.5
2003,141.9,227.3,196.0,82.8,648.0,-11.5,0.0,6.2,-48.2,-11.5,8079.7,12823.0,9515.5,6550.7
2004,143.0,177.6,134.6,162.1,617.4,-9.9,-21.1,-26.2,1.1,-15.0,7935.599999999999,10441.8,10279.3,5284.1
2005,141.9,286.0,155.8,223.3,807.0,-9.9,27.9,-14.3,39.4,11.6,7254.8,14006.5,8239.5,8542.5
2006,158.1,153.9,176.4,196.1,684.5,0.4,-31.2,-2.9,22.5,-5.3,7498.1,11754.2,10619.7,7500.2
2007,242.5,205.6,223.1,231.0,902.1,54.0,-8.0,22.8,44.3,24.8,9636.7,12982.1,11112.7,9663.0
2008,135.6,170.8,238.5,147.7,692.6,-13.9,-23.6,31.3,-7.8,-4.2,9364.3,10689.5,11055.5,6961.0
2009,106.5,216.1,161.0,198.5,682.2,-32.3,-3.3,-11.4,24.0,-5.6,4965.0,12004.8,7989.5,6374.2
2010,163.5,277.9,229.7,177.0,848.1,3.6,24.0,26.6,11.0,17.3,7263.3,13083.3,11072.4,8037.7
2011,156.8,213.1,219.0,124.3,713.1,-1.3,-2.9,21.2,-20.6,-0.3,8663.2,11434.8,11951.7,8115.2
2012,113.0,178.7,207.3,145.0,643.9,-28.8,-18.6,14.7,-7.5,-10.0,6419.9,10470.5,10641.7,8302.7
2013,206.1,274.6,164.9,180.1,825.6,29.8,25.1,-8.7,14.9,15.4,10612.8,13573.9,9695.6,6558.5
2014,100.1,199.4,229.1,136.7,665.3,-36.9,-9.1,26.8,-12.8,-7.0,4939.3,11359.3,10213.4,7162.8
2015,187.6,110.2,146.2,161.0,605.1,18.1,-49.9,-19.1,2.8,-15.5,8471.5,9535.8,8240.9,5601.0
2016,199.1,193.3,108.7,159.2,660.2,25.3,-12.1,-39.8,1.7,-7.8,7676.5,12534.8,8722.7,7187.9
