YEAR,JUN,JUL,AUG,SEP
1901,6740.9,10168.8,10486.4,4746.1
1902,5869.9,12269.4,8433.3,9017.0
1903,5954.9,12484.4,10452.4,7605.2
1904,8252.1,10917.5,7534.6,5876.6
1905,5713.3,10041.4,8605.9,6254.8
1906,8203.5,12049.0,9984.7,6268.0
1907,7188.3,10479.9,11797.5,4090.3
1908,6649.7,13809.8,11486.8,6217.5
1909,9114.6,12098.6,8899.5,5945.7
1910,9749.7,9908.8,11127.6,7884.3
1911,8966.5,7746.6,8177.2,6596.4
1912,6372.2,13616.0,10305.6,4829.1
1913,9797.9,11219.7,7368.8,4723.5
1914,7342.9,14788.8,10291.6,7667.9
1915,7341.0,9953.4,8581.4,7130.4
1916,10821.8,11176.3,11795.0,8948.3
1917,9945.1,11319.6,11133.0,10841.5
1918,9244.2,7643.2,10013.8,4606.6
1919,9098.1,12880.2,10486.5,6791.1
1920,8389.0,12178.7,8056.1,5764.099999999999
1921,8699.9,12769.4,11583.8,8036.7
1922,9869.9,13901.4,9216.6,8376.5
1923,6173.5,15291.5,11016.800000000001,7460.1
1924,7669.4,14824.6,10611.5,9413.0
1925,9842.0,12245.8,10094.0,5560.3
1926,5617.2,13779.6,13162.7,8182.2
1927,8527.1,13940.8,9813.9,7298.1
1928,8584.5,12839.7,10208.0,5833.4
1929,10003.5,11947.0,9493.6,5330.7
1930,8925.8,11196.6,8721.0,7703.900000000001
1931,6704.2,14335.5,12780.6,7746.8
1932,6523.5,13176.5,9453.2,7167.7
1933,10059.5,12619.4,12285.6,9233.4
1934,10489.1,11859.6,11786.1,6496.900000000001
1935,7786.599999999999,12731.4,10461.9,7811.8
1936,11134.0,12499.3,9630.2,7916.8
1937,8117.5,14566.5,8435.6,7013.5
1938,12308.3,12536.6,10228.3,7357.7
1939,8524.3,11690.2,9327.3,6241.1
1940,7999.099999999999,13040.3,12124.4,5353.8
1941,8452.4,9995.6,9295.800000000001,6412.1
1942,9355.2,13750.3,10772.0,6758.8
1943,8306.3,12532.3,8691.4,8112.6
1944,7272.099999999999,13891.2,9925.5,6061.7
1945,7209.7,13768.7,9778.2,8034.5
1946,9697.5,12935.1,11645.9,5986.0
1947,7109.3,13506.300000000001,11926.6,9313.9
1948,7570.0,13919.2,11232.9,6516.3
1949,8112.0,14395.5,10109.6,9436.3
1950,6745.5,14498.0,9490.2,8654.3
1951,8407.5,11739.0,8284.300000000001,5292.6
1952,8271.3,11490.9,10301.1,4629.8
1953,7968.1,14784.4,10888.8,7030.0
1954,7811.8,13152.6,9909.9,9263.4
1955,8515.5,10069.2,11973.1,8437.8
1956,9635.2,13880.5,9789.4,6508.6
1957,8018.8,13179.5,10841.6,5410.7
1958,7087.4,13005.300000000001,13376.8,8638.0
1959,8680.4,16126.4,10317.9,9571.7
1960,7718.6,13440.3,9434.1,8148.1
1961,9393.8,14844.5,11844.7,8999.6
1962,6374.9,12423.2,11942.5,8597.6
1963,7941.9,11551.8,13805.4,6863.599999999999
1964,8264.6,14601.6,11292.1,8619.4
1965,6387.5,11735.7,8617.5,5351.1
1966,7735.0,11424.3,8575.4,6372.0
1967,6978.5,13749.9,10600.0,6560.8
1968,7964.7,14111.4,8328.5,5705.8
1969,6680.6,13442.9,10911.199999999999,7656.6
1970,9815.4,11900.8,13272.4,8636.7
1971,10739.0,11375.9,10954.8,6464.6
1972,6332.8,9556.9,8266.2,5270.9
1973,7769.4,11140.0,12158.2,7000.2
1974,5890.900000000001,13005.2,9871.9,6545.8
1975,9041.4,12662.0,11368.6,9431.6
1976,7451.8,12689.2,11606.7,5621.2
1977,8664.3,13810.199999999999,9592.0,6043.4
1978,10369.5,12306.8,10975.1,6620.4
1979,6761.9,10829.9,8420.5,5872.0
1980,10411.9,12698.5,11273.6,5638.7
1981,8202.8,12904.9,10358.6,7830.0
1982,7000.4,10511.8,11437.5,5108.9
1983,7153.6,12178.5,12958.599999999999,10230.699999999999
1984,9423.2,12533.6,9463.5,5901.3
1985,8446.9,11698.9,9514.2,5954.0
1986,8504.5,10001.2,9302.2,5587.8
1987,6693.0,9058.7,10756.4,6168.5
1988,7337.4,15746.800000000001,12433.0,9454.3
1989,8879.1,12645.4,9599.4,6864.7
1990,8650.7,12199.8,12026.6,7556.9
1991,9359.5,12478.699999999999,10599.9,5577.7
1992,7134.5,11484.0,11744.4,6390.1
1993,7667.400000000001,13452.7,8472.4,8235.5
1994,9392.5,14548.2,11045.8,6070.8
1995,6891.4,13805.5,11298.8,7772.9
1996,8507.8,11664.0,11281.2,6569.8
1997,8078.7,13055.0,10968.5,6201.7
1998,8374.9,12365.5,10372.7,8802.5
1999,8270.6,12417.8,8796.0,7020.4
2000,8893.9,10900.7,10087.5,5768.3
2001,9445.3,10929.9,8597.1,4893.4
2002,8042.4,6567.9,9868.1,5545.5
2003,8079.7,12823.0,9515.5,6550.7
2004,7935.599999999999,10441.8,10279.3,5284.1
2005,7254.8,14006.5,8239.5,8542.5
2006,7498.1,11754.2,10619.7,7500.2
2007,9636.7,12982.1,11112.7,9663.0
2008,9364.3,10689.5,11055.5,6961.0
2009,4965.0,12004.8,7989.5,6374.2
2010,7263.3,13083.3,11072.4,8037.7
2011,8663.2,11434.8,11951.7,8115.2
2012,6419.9,10470.5,10641.7,8302.7
2013,10612.8,13573.9,9695.6,6558.5
2014,4939.3,11359.3,10213.4,7162.8
2015,8471.5,9535.8,8240.9,5601.0
2016,7676.5,12534.8,8722.7,7187.9
2017,8356.2,11583.0,9935.5,6847.4
2018,8053.5,11501.5,9912.1,5237.7
2019,5861.1,12854.1,12845.0,10556.4
2020,8925.1,11773.4,13066.300000000001,8384.6
2021,8331.0,11756.1,8338.6,9335.2
