Name of crop,2002,2003,2004,2005,2006,2007,2008,2009
Potato ,NA,NA,NA,Kufari Surya Kufri Chipsona-3 Kufri Himalini Kufri Arun Kufri Pushkar Kufri Shailja ,NA,NA,Kufri Himsona Kufri Sadabahar Kufri Girdhari Kufri Khyati,Kufri Frysona  
Vegetable crops ,NA,Watermelon Durgapura Lal  (RW 177-3) Amaranthus Konkan Durangi Ash Gourd Pusa Ujwal (DAG-1)," Pumpkin-Sooraj  (CM-350), Brinjal-Gujrat Brinjal Long-1, Brinjal-Brinjal Hybrid-2, Brinjal-(GBH-2), Brinjal-Utkal Jyoti (BB-13), Brinjal-Swarna Pratibha, Brinjal-(CH-309), Brinjal-Swarna Mani (CHTH-1), Mushmelon-RM-50, MHY-5, Snap Melon-Pusa Shandar (DSM-1), Spong Gourd-Pusa Sneha, Cauliflower-Pusa Sharad, Cauliflower-(sel-303-1-2), Cauliflower-Pusa Meghna (DC/98-2), Cauliflower-Pusa Snowball , Cauliflower-K-25 (Kt-25), Vegetable Muskard-Pusa Saag-1 (MR-704), Chilli-Utkal Ava (BC-14-2), Chilli-RCh-1, Cucumber-Swarna Poona (CH-20), Garlic-VL Garlic -1 (VLG-7), Onion-RO-1, Onion-(Rajasthan Onion-1), Tomato-Swaprna Baibhay, Tomato-(CHTH-1), Tomato-Sankranthi (TLB-11), Tomato-Nandi (TLB-130), Tomato-Vybhat (TLB-182)","Brinjal-Kashi Prakash, Brinjal-(IVBT-1), Brinjal-Swarna Shobha, Brinjal-(HABR-4), Cauliflower-Kashi Kuwari, Cauliflower-(IVCE-2), Chilli-Arka Suphal (PMR 57/88 K), Chilli-Gujarat Veg., Chilli-Chilli-101, Chilli-(Anand Jyot 101), Chilli-Kashi Anmol(KA-2), Chilli-Prasanth, Chilli-(LCA- 334), Cowpea-Kashi Shyamal, Cowpea-(IVRCP-1), Garlic -Jamuna Safed-4, Garlic -(G-323), Okra-Kashi Pragati, Okra-(VRO-6), Okra-Kashi Vibhuti, Okra-(VRO-5), Okra Hybrid-HBH-142, Okra Hybrid-Kashi Bhairo (DVR-3) , Pea-Kashi Nandini, Pea-(VRP-5), Pea-Narendra Subzi Matar-6, Pumpkin-NDPK-24, Sponge gourd-Gujarat Sponge Gourd-1, Sponge gourd-(JSGL-55), Sponge gourd-Swarna Prabha, Sponge gourd-(CHSG-1), Tomato-Kashi Hemant (IIVR Sel-1), Tomato-Kashi Sharad, Tomato-(IIVR Sel-2), Tomato-Kashi Vishesh (H-86), Tomato Hyb.-Arka Ananya (TLBRH-9)",NA,"Garden pea-Arka Karthik, Garden pea-Arka Sampoorna, Chilli-Arka, Chilli-Arka aweta, Chilli-Arka Meghana, Carrot-Arka Suraj, Watermelon-Thar Manak, Bottle gourd-Thar Samridhi, Khejri-Tahr Shobha", French bean-Arka Anoop,"Onion -Bhima Red , Garlic -Bhima Omkar"
Cashew-nut,NA,NA,NA,Bhaskar,NA,"Chintamani-2 ,  VRI(CW)-5 , Goa-2",NA,NA
Coconut (palms),"Coconut , Arasam-patti Tall/ Aliyar nagar-1",NA,NA,NA,NA,NA,"Kalpa Pratibha , Kalpa Mitra , Kalpa Dhenu ,Kalparaksha ",NA
Turmeric/ spice crops ,"Ginger , IISR Rejatha ,IISR Mahima , Nutmeg IISR Viswashree ",NA,"Turmeric-IISR Kedaram IISR , Turmeric-Alleppey Supreme ,  , Ajowan-Ajmer Ajowan-1 , Ajowan-(AA-1) , Ajowan-Ajmer Ajowan-2 , Ajowan-(AA-2) ,  , Dill-Ajmer Dill-1 (AD-1) , Dill-Ajmer Dill-2(AD-2) ,  , Nigella-Ajmer Nigella-1(AN-1) ,  , Fennel-Hisar Swarup , Fennel-Gujrat fennel-11 ,  , Fenugreek-RMt. 305 ,  , Coriander-Hisar Surabhi ,  , Cumin-RZ-223 ,  , Black pepper-IISR Thevam , Black pepper-IISR Girimunda , Black pepper-P-24 , Black pepper-IISR Malabar Excel ","Coriander-NRCSS ACr 1 ,  , Fennel-NRCSS AF 1 ,  , Fenugreek-NRCSS AM 1 , Fenugreek-NRCSS AM 2 ,  , Ginger-IISR Nahima , Ginger-IISR Rajitha ,  , Nutmeg-IISR Viswashree  ,  , Ajowan-NRCSS AA-1 , Ajowan-NRCSS AA-2 ,  , Nigella-NRCSS AN-1 ,  , Dill-NRCSS AD -1 , Dill-NRCSS AD- 2 ","Small Cardamom-ICRI-5 (MHC-26) , Small Cardamom-ICRI-6 (MCC-73) ,  , CorianderRCr-480 , Coriander(UD-480) , Coriander-Hisar Surabhi , Coriander-(DH-246) , Coriander-Sudha (LCC-128) ,  , Cumin-RZ-341 (UC-341) , Cumin-Gujarat Cumin-4 , Cumin-(JC-2000-72) ,  , Fennel-RF-178 (UfF-178) ,  , Fenugreek-RMt-351 , Fenugreek(UM-351) , Fenugreek-Gujarat Methi-2 , Fenugreek-(J.Fenu-244) ,  , Black pepper-IISR Thevam , Black pepper-IISR Girimunda , Black pepper-IISR Malabar , Black pepper-Excel , Black pepper-IISR Shakthi ,  , Turmeric-IISR, Kedaram , Turmeric-IISR Alleppey Supreme  ,  , Anise-NRCSS Aani-1 , Celery-NRCSS Acel-1","Cardamom (Small)-ICRI-5 , Cardamom (Small)-ICRI-6 ,  , Coriander-Hisar Surabhi , Coriander-RCr-480 , Coriander-\Sudha  ,  , Cumin-RZ-341  , Cumin-RZ-223 ,  , Fennel-RF-178 , Fennel-RF-143 ,  , Fenugreek-RMt-351 , Fenugreek-RMt-3005 ",Coriander-Hisar Bhoomit ,NA
Fruits,"Mango -Pusa Arunima , Pusa Surya ",NA,NA,"Banana-Udhayam,Guava-Shweta","Citrus-Acid-Lime-Khagzi lime,Citrus-Acid-Lime-Clone-PDKV,Citrus-Acid-Lime-Balaji,Clonal sélection A- Grapes-17/3,Ber-Thar sevika,Anola-Goma Aishwarya","Apple-Sweet Red,Apple-Satai Gold,Apricot-EMA Selection,Nectarine-Silver King,Walnut-Sarwari,Walnut-K-12,Walnut-KN-5,Walnut-SH-23,Walnut-SR-11,Ber-Thar Bhubhraj ","Apple-Shalimar,Apple-Apple-1,Apple-Shalimar,Apple-Apple-2,Grapes-Manjari Naveen,Grapes-Red Globe",NA
Betel -Vine,"Ghanagatte , DPB-6",NA,NA,NA,NA,NA,NA,NA
Medicinal & Aromatic Plant,"Catharanthus , Roaseus , Periwinkle Prabhat",NA,Jawahar-Safed musli,"Safed musli-INGR No. 04113 , Safed musli-INGR No.,414 ","Aloe vera-INGR No. 06023 , Aloe vera-INGR No. 06024 , Gilo (Tinospora Aloe vera-cordifolia) , Aloe vera-INGR No. 06025 , Aloe vera-Isabgol GI-3",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuber Crops ,NA,NA,NA,"Sweet Potat-Goutam , Sweet Potat-Sourin , Sweet Potat-Kishan , Sweet Potat-Bidhan , Sweet Potat-Jagannath (90/101) , Sweet Potat-Bisra , Sweet Potat-Sakarkand – 1(90-704) , Sweet Potat-Indira , Sweet Potat-Sakarkand – 1 , Sweet Potat-(IB-90-15-9) , Sweet Potat-NDSP-10 , Sweet Potat-Sree kanaka (80/168) , Sweet Potat-Sree kanaka (80/168)","Sweet Potato-ISGP-4 , Sweet Potato-IGSP-17 , Sweet Potato-RNSP-3 ,  , Elephant foot yam-NDA-9 ,  , Aroids-Sree Athira ,  , Arvi-PKS-1 , Arvi-RNCA-1 , Arvi-BKCOL-2 , Arvi-Sonajuli and Jhankri , Arvi-Sonajuli and Jhankri",NA,NA,NA
Crops,NA,NA,NA,"Yams-Odisha Elite ,  , Greater Yam-Sree Karthika  , Greater Yam-(DA-199) , Greater Yam-Odisha Elite ,  , Aroids-Pani saru-1 , Aroids-Pani saru-2 ,  , Arvi-Ahinakatchu , Arvi-Indira Arvi-1 , Arvi-(BKCOL-2) , Arvi-Kadma Arvi , Arvi-Sree Kiran (H-4) , Arvi-Sree Kiran (H-4)","Cassava-Sree Prakash , Cassava-Sree Vijaya ,  , Bunda -NDB-3 , Bunda -NDB-21 ",NA,NA,NA
Floricultural Crops,NA,NA,NA,Tuberose -Phule Rajani,"Chrysanthemum-Anmol , Chrysanthemum-Royal Purple , Chrysanthemum-Yellow Delight , Chrysanthemum-Garden Beauty , Chrysanthemum-Winter Queen , Chrysanthemum-Autumm Joy , Chrysanthemum-Mini Queen , Chrysanthemum-Rangoli ,  , Gladiolus-Urvashi , Gladiolus-PNeelima",NA,Carnation-Arka Flame ,NA
Plantation Crops,NA,NA,NA,NA,"Arecanut-VTL AH-1 ,"" , "" , Cocoa-\VTL CH-4",NA,NA,NA
